method,parameters,n_components,clustering,average_score
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0}",5,spectral,0.1398521237454763
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0}",5,agglomerative,0.23986166120015254
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0}",5,hdbscan,0.2663133604818173
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0}",5,gmm,0.177415762144127
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0001}",5,kmeans,0.17565692243067677
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0001}",5,spectral,0.1398521237454763
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0001}",5,agglomerative,0.23986166120015254
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0001}",5,hdbscan,0.2663133604818173
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0001}",5,gmm,0.177415762144127
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.001}",5,kmeans,0.17565692243067677
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.001}",5,spectral,0.1398521237454763
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.001}",5,agglomerative,0.23986166120015254
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.001}",5,hdbscan,0.2663133604818173
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.001}",5,gmm,0.177415762144127
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 4}",2,kmeans,0.13116186713567546
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 4}",2,spectral,0.2500804910891993
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 4}",2,agglomerative,0.12362213116475096
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 4}",2,hdbscan,0.23565890413670604
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 4}",2,gmm,0.13924100779508553
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 8}",2,kmeans,0.23641919322113153
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 8}",2,spectral,0.1483547098664406
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 8}",2,agglomerative,0.23002126621342334
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 8}",2,hdbscan,0.24769120675389802
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 8}",2,gmm,0.23465806669306233
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 10}",2,kmeans,0.23641919322113153
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 10}",2,spectral,0.1483547098664406
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 10}",2,agglomerative,0.23002126621342334
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 10}",2,hdbscan,0.24769120675389802
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 10}",2,gmm,0.23465806669306233
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 4}",3,kmeans,0.1856475373399576
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 4}",3,spectral,0.29491176985978496
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 4}",3,agglomerative,0.1569205465844727
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 4}",3,hdbscan,0.2168226508878643
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 4}",3,gmm,0.21479462125115734
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 8}",3,kmeans,0.1856475373399576
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 8}",3,spectral,0.29491176985978496
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 8}",3,agglomerative,0.1569205465844727
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 8}",3,hdbscan,0.2168226508878643
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 8}",3,gmm,0.21479462125115734
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 10}",3,kmeans,0.16543196398293333
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 10}",3,spectral,0.20010029639251492
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 10}",3,agglomerative,0.1923534679085147
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 10}",3,hdbscan,0.21705611843255562
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 10}",3,gmm,0.1737772067557901
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 4}",4,kmeans,0.17604373420121394
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 4}",4,spectral,0.3644180020955573
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 4}",4,agglomerative,0.19966003269441263
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 4}",4,hdbscan,0.23025030891670184
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 4}",4,gmm,0.16622667277391118
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 8}",4,kmeans,0.24382909424371746
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 8}",4,spectral,0.15957273637733163
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 8}",4,agglomerative,0.1565518113982594
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 8}",4,hdbscan,0.21072027354146844
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 8}",4,gmm,0.21266860383859643
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 10}",4,kmeans,0.24382909424371746
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 10}",4,spectral,0.15957273637733163
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 10}",4,agglomerative,0.1565518113982594
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 10}",4,hdbscan,0.21072027354146844
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 10}",4,gmm,0.21266860383859643
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 4}",5,kmeans,0.12132791793390774
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 4}",5,spectral,0.1431368738946787
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 4}",5,agglomerative,0.13506480473349203
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 4}",5,hdbscan,0.20768902452473026
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 4}",5,gmm,0.16566438631625025
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 8}",5,kmeans,0.19594366085208353
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 8}",5,spectral,0.2435132743667044
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 8}",5,agglomerative,0.19869420969818224
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 8}",5,hdbscan,0.22251598875333906
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 8}",5,gmm,0.18869485625086016
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 10}",5,kmeans,0.19594366085208353
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 10}",5,spectral,0.2435132743667044
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 10}",5,agglomerative,0.19869420969818224
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 10}",5,hdbscan,0.22251598875333906
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 10}",5,gmm,0.18869485625086016
MDS,"{'max_iter': 300, 'metric': False, 'n_components': 2, 'n_init': 4}",2,kmeans,0.08722343881783227
MDS,"{'max_iter': 300, 'metric': False, 'n_components': 2, 'n_init': 4}",2,spectral,0.06788583677053386
MDS,"{'max_iter': 300, 'metric': False, 'n_components': 2, 'n_init': 4}",2,agglomerative,0.09231899978936534
MDS,"{'max_iter': 300, 'metric': False, 'n_components': 2, 'n_init': 4}",2,hdbscan,0.07744603827629898
MDS,"{'max_iter': 300, 'metric': False, 'n_components': 2, 'n_init': 4}",2,gmm,0.09283321514803185
MDS,"{'max_iter': 300, 'metric': False, 'n_components': 2, 'n_init': 8}",2,kmeans,0.07735591293492515
MDS,"{'max_iter': 300, 'metric': False, 'n_components': 2, 'n_init': 8}",2,spectral,0.08618241629718695
